JAHR;GEMTYPE;Preis
2016;10.000 - 50.000 EW;77.4
2016;5.000 - 10.000 EW;64.8
2016;< 5.000 EW;47.3
2016;> 50.000 EW;189.6
2017;10.000 - 50.000 EW;78.6
2017;5.000 - 10.000 EW;67.7
2017;< 5.000 EW;49.6
2017;> 50.000 EW;186.4
2018;10.000 - 50.000 EW;81.8
2018;5.000 - 10.000 EW;70.6
2018;< 5.000 EW;51.4
2018;> 50.000 EW;217.6
2019;10.000 - 50.000 EW;82.6
2019;5.000 - 10.000 EW;70.4
2019;< 5.000 EW;52.9
2019;> 50.000 EW;203.2
2020;10.000 - 50.000 EW;85.5
2020;5.000 - 10.000 EW;77.0
2020;< 5.000 EW;55.9
2020;> 50.000 EW;217.1
2021;10.000 - 50.000 EW;95.1
2021;5.000 - 10.000 EW;86.3
2021;< 5.000 EW;61.3
2021;> 50.000 EW;263.6
2022;10.000 - 50.000 EW;113.6
2022;5.000 - 10.000 EW;102.5
2022;< 5.000 EW;69.9
2022;> 50.000 EW;325.5
2023;10.000 - 50.000 EW;121.0
2023;5.000 - 10.000 EW;108.3
2023;< 5.000 EW;73.9
2023;> 50.000 EW;325.9
